time,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,rain,snowfall,weathercode,windspeed_10m,winddirection_10m,surface_pressure
2025-12-03 00:00:00,5.0,81,2.0,0.0,0.0,0.0,3,19.1,206,1000.5
2025-12-03 01:00:00,5.0,83,2.3,0.0,0.0,0.0,3,20.9,209,1000.7
2025-12-03 02:00:00,5.0,84,2.5,0.0,0.0,0.0,3,21.6,208,1000.7
2025-12-03 03:00:00,4.9,82,2.1,0.0,0.0,0.0,3,21.2,210,1000.9
2025-12-03 04:00:00,4.9,82,2.1,0.0,0.0,0.0,3,21.2,214,1000.9
2025-12-03 05:00:00,4.9,83,2.2,0.0,0.0,0.0,3,20.9,215,1000.5
2025-12-03 06:00:00,4.9,84,2.4,0.0,0.0,0.0,3,20.9,217,1000.3
2025-12-03 07:00:00,4.9,84,2.4,0.0,0.0,0.0,3,19.4,219,1000.4
2025-12-03 08:00:00,4.9,86,2.7,0.0,0.0,0.0,3,19.1,217,1001.0
2025-12-03 09:00:00,4.8,87,2.8,0.0,0.0,0.0,3,18.4,218,1001.6
2025-12-03 10:00:00,4.5,89,2.9,0.0,0.0,0.0,3,17.3,214,1002.0
2025-12-03 11:00:00,4.6,88,2.8,0.0,0.0,0.0,3,17.3,220,1002.4
2025-12-03 12:00:00,4.5,88,2.7,0.0,0.0,0.0,3,15.8,219,1002.6
2025-12-03 13:00:00,4.5,88,2.7,0.0,0.0,0.0,3,14.8,216,1002.6
2025-12-03 14:00:00,4.5,87,2.5,0.0,0.0,0.0,3,16.9,214,1002.5
2025-12-03 15:00:00,4.5,88,2.7,0.0,0.0,0.0,3,15.1,210,1002.5
2025-12-03 16:00:00,4.5,89,2.9,0.0,0.0,0.0,3,15.5,216,1002.5
2025-12-03 17:00:00,4.5,89,2.9,0.0,0.0,0.0,3,14.4,219,1002.6
2025-12-03 18:00:00,4.6,90,3.1,0.0,0.0,0.0,3,13.0,222,1002.8
2025-12-03 19:00:00,4.4,93,3.3,0.0,0.0,0.0,3,12.2,215,1002.9
2025-12-03 20:00:00,4.3,95,3.5,0.0,0.0,0.0,3,12.6,215,1003.0
2025-12-03 21:00:00,4.3,96,3.7,0.0,0.0,0.0,3,12.2,216,1003.2
2025-12-03 22:00:00,4.3,94,3.4,0.0,0.0,0.0,3,11.5,218,1003.4
2025-12-03 23:00:00,4.4,93,3.3,0.0,0.0,0.0,3,11.2,216,1003.7
2025-12-04 00:00:00,4.3,93,3.3,0.0,0.0,0.0,3,10.1,213,1003.8
2025-12-04 01:00:00,4.3,94,3.4,0.0,0.0,0.0,3,9.4,209,1003.8
2025-12-04 02:00:00,4.3,94,3.4,0.0,0.0,0.0,3,9.4,212,1003.6
